,stand,on_3b,on_2b,on_1b,outs_when_up,inning,sv_id,release_spin_rate,pitch_number,opp_score,nats_score,if_fielding_alignment,of_fielding_alignment,nats_home1_away0,balls_strikes,all_runners
11,R,0,0,0,0,6,190925_005357,2526.0,4,4,2,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
1360,R,0,0,0,2,1,190609_022958,2424.0,4,0,1,Standard,Standard,0,1_2,fb:0_sb:0_tb:0
1877,R,0,1,0,0,4,190512_022332,2392.0,4,2,0,Standard,Standard,0,1_2,fb:0_sb:1_tb:0
119,R,0,0,0,1,7,190918_192037,2754.0,1,2,1,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
2256,R,0,0,0,0,1,190426_230558,2625.0,3,0,0,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
96,L,0,0,0,0,1,190924_230722,1333.0,5,0,0,Standard,Strategic,1,2_2,fb:0_sb:0_tb:0
196,R,0,0,0,2,1,190918_173235,2217.0,3,0,0,Infield shift,Standard,0,0_2,fb:0_sb:0_tb:0
2628,R,0,0,0,2,2,190403_001519,2161.0,3,0,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
459,R,0,1,0,2,2,190903_233418,1364.0,6,0,1,Standard,Standard,1,2_2,fb:0_sb:1_tb:0
1780,R,0,0,0,0,3,190517_234812,2342.0,1,3,0,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
384,L,0,0,0,1,2,190908_175517,2305.0,1,0,3,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
2484,L,1,0,0,2,6,190407_192611,2611.0,1,1,9,Standard,Standard,0,0_0,fb:0_sb:0_tb:1
2088,R,0,0,0,2,5,190502_003016,2358.0,2,3,1,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
631,L,0,1,0,1,2,190822_235640,1529.0,2,0,2,Standard,Standard,0,0_1,fb:0_sb:1_tb:0
2450,L,0,1,0,2,1,190414_174320,1406.0,3,1,0,Standard,Standard,1,1_1,fb:0_sb:1_tb:0
2072,L,0,1,1,2,6,190502_005051,2571.0,2,3,1,Standard,Standard,1,1_0,fb:1_sb:1_tb:0
2393,L,0,0,0,2,6,190414_190418,1394.0,1,3,3,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
2379,L,0,0,0,0,8,190414_193430,2837.0,1,3,3,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
303,R,0,0,0,0,1,190913_230722,2522.0,6,0,0,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
1884,L,0,0,0,0,4,190512_022004,1704.0,4,2,0,Infield shift,Standard,0,1_2,fb:0_sb:0_tb:0
684,L,0,1,0,1,4,190725_211540,,3,0,0,Standard,Standard,1,0_2,fb:0_sb:1_tb:0
2380,R,0,0,0,2,7,190414_191846,2583.0,6,3,3,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
1431,L,0,0,0,0,5,190602_184641,2930.0,5,1,2,Standard,Standard,0,1_2,fb:0_sb:0_tb:0
1118,R,0,0,0,0,4,190620_000329,2451.0,2,0,1,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
443,L,0,1,0,1,4,190904_000508,2620.0,1,2,1,Standard,Standard,1,0_0,fb:0_sb:1_tb:0
2552,L,0,0,0,0,2,190407_174540,1643.0,3,0,5,Infield shift,Standard,0,1_1,fb:0_sb:0_tb:0
2068,L,0,1,1,2,6,190502_005300,2364.0,6,3,1,Standard,Standard,1,2_2,fb:1_sb:1_tb:0
812,R,0,0,0,2,2,190706_203452,2287.0,1,0,1,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
474,L,0,0,0,1,2,190903_232658,1611.0,3,0,1,Strategic,Standard,1,0_2,fb:0_sb:0_tb:0
2369,R,0,1,0,1,8,190414_193935,1403.0,4,3,3,Standard,Standard,1,1_2,fb:0_sb:1_tb:0
393,L,0,0,0,2,1,190908_174134,2472.0,6,0,2,Infield shift,Standard,0,2_2,fb:0_sb:0_tb:0
2227,R,0,0,0,1,3,190426_234154,1638.0,4,0,0,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
571,L,0,0,0,0,2,190828_233608,2366.0,1,0,5,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
1017,R,0,0,1,2,3,190626_000832,2223.0,1,0,3,Standard,Standard,0,0_0,fb:1_sb:0_tb:0
791,R,0,1,0,2,3,190706_210537,2543.0,2,0,4,Standard,Standard,1,0_1,fb:0_sb:1_tb:0
1223,R,0,0,0,0,5,190615_001504,2350.0,1,2,3,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
1687,R,1,1,0,1,1,190522_233025,2590.0,5,0,1,Standard,Standard,0,2_2,fb:0_sb:1_tb:1
970,R,0,0,0,0,8,190626_011725,2592.0,5,1,6,Standard,Standard,0,1_2,fb:0_sb:0_tb:0
2756,L,0,0,0,2,1,190328_171246,2733.0,1,1,0,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
1137,L,0,0,1,2,2,190619_233205,2422.0,6,0,0,Standard,Standard,1,3_2,fb:1_sb:0_tb:0
876,R,0,0,1,1,6,190630_184933,,1,0,1,Standard,Standard,0,0_0,fb:1_sb:0_tb:0
2525,L,0,0,0,1,3,190407_180946,1697.0,3,1,5,Standard,Standard,0,1_1,fb:0_sb:0_tb:0
