,pitch_type,game_date,batter,release_speed,zone,stand,home_team,on_3b,on_2b,on_1b,outs_when_up,inning,sv_id,release_spin_rate,pitch_number,opp_score,nats_score,if_fielding_alignment,of_fielding_alignment,nats_home1_away0,balls_strikes,all_runners
99,FF,2019-09-24,514917,94.9,14.0,L,WSH,0,0,0,0,1,190924_230625,2592.0,2,0,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
100,FF,2019-09-24,514917,92.1,4.0,L,WSH,0,0,0,0,1,190924_230610,2526.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
101,CU,2019-09-18,446308,78.5,2.0,L,STL,0,0,1,2,7,190918_192954,2555.0,5,3,1,Infield shift,Standard,0,2_2,fb:1_sb:0_tb:0
102,FF,2019-09-18,446308,94.2,3.0,L,STL,0,0,1,2,7,190918_192917,2286.0,4,3,1,Infield shift,Standard,0,2_1,fb:1_sb:0_tb:0
103,FF,2019-09-18,446308,94.0,5.0,L,STL,0,0,1,2,7,190918_192832,2284.0,3,3,1,Infield shift,Standard,0,2_0,fb:1_sb:0_tb:0
104,CH,2019-09-18,446308,81.6,11.0,L,STL,0,0,1,2,7,190918_192806,1129.0,2,3,1,Standard,Standard,0,1_0,fb:1_sb:0_tb:0
105,FF,2019-09-18,446308,92.2,14.0,L,STL,0,0,1,2,7,190918_192743,2377.0,1,3,1,Standard,Standard,0,0_0,fb:1_sb:0_tb:0
106,CH,2019-09-18,669242,83.3,11.0,L,STL,0,1,0,2,7,190918_192646,1355.0,4,2,1,Standard,Standard,0,2_1,fb:0_sb:1_tb:0
107,FF,2019-09-18,669242,96.1,12.0,L,STL,0,1,0,2,7,190918_192611,2435.0,3,2,1,Standard,Standard,0,1_1,fb:0_sb:1_tb:0
108,CU,2019-09-18,669242,79.2,13.0,L,STL,0,1,0,2,7,190918_192543,2660.0,2,2,1,Standard,Standard,0,0_1,fb:0_sb:1_tb:0
109,FF,2019-09-18,669242,96.0,4.0,L,STL,0,1,0,2,7,190918_192514,2403.0,1,2,1,Standard,Standard,0,0_0,fb:0_sb:1_tb:0
110,SL,2019-09-18,657557,86.7,5.0,R,STL,0,0,0,2,7,190918_192422,2396.0,3,2,1,Standard,Standard,0,1_1,fb:0_sb:0_tb:0
111,CH,2019-09-18,657557,83.6,13.0,R,STL,0,0,0,2,7,190918_192353,1320.0,2,2,1,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
112,FF,2019-09-18,657557,95.9,5.0,R,STL,0,0,0,2,7,190918_192333,2211.0,1,2,1,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
113,FF,2019-09-18,425877,94.6,11.0,R,STL,0,0,0,1,7,190918_192257,2383.0,7,2,1,Standard,Standard,0,3_2,fb:0_sb:0_tb:0
114,SL,2019-09-18,425877,85.0,4.0,R,STL,0,0,0,1,7,190918_192220,2281.0,6,2,1,Standard,Standard,0,3_2,fb:0_sb:0_tb:0
115,SL,2019-09-18,425877,85.0,13.0,R,STL,0,0,0,1,7,190918_192154,2433.0,5,2,1,Standard,Standard,0,2_2,fb:0_sb:0_tb:0
116,FF,2019-09-18,425877,94.2,4.0,R,STL,0,0,0,1,7,190918_192132,2302.0,4,2,1,Standard,Standard,0,2_1,fb:0_sb:0_tb:0
117,CH,2019-09-18,425877,84.5,13.0,R,STL,0,0,0,1,7,190918_192111,1367.0,3,2,1,Standard,Standard,0,1_1,fb:0_sb:0_tb:0
118,FF,2019-09-18,425877,94.6,11.0,R,STL,0,0,0,1,7,190918_192053,2474.0,2,2,1,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
119,CU,2019-09-18,425877,77.9,8.0,R,STL,0,0,0,1,7,190918_192037,2754.0,1,2,1,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
120,SL,2019-09-18,664056,85.4,14.0,R,STL,0,0,0,0,7,190918_192001,2265.0,3,2,1,Standard,Standard,0,0_2,fb:0_sb:0_tb:0
121,SL,2019-09-18,664056,84.2,5.0,R,STL,0,0,0,0,7,190918_191940,,2,2,1,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
122,SL,2019-09-18,664056,84.5,14.0,R,STL,0,0,0,0,7,190918_191920,2424.0,1,2,1,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
123,SL,2019-09-18,542303,85.4,4.0,R,STL,0,1,1,2,6,190918_190755,2213.0,2,2,0,Standard,Standard,0,1_0,fb:1_sb:1_tb:0
124,CU,2019-09-18,542303,,,R,STL,0,1,1,2,6,190918_190720,,1,2,0,Standard,Standard,0,0_0,fb:1_sb:1_tb:0
125,FF,2019-09-18,502671,95.5,4.0,R,STL,0,1,1,1,6,190918_190558,2346.0,6,2,0,Standard,Standard,0,1_2,fb:1_sb:1_tb:0
126,SL,2019-09-18,502671,84.3,14.0,R,STL,0,1,1,1,6,190918_190527,2300.0,5,2,0,Standard,Standard,0,0_2,fb:1_sb:1_tb:0
127,FF,2019-09-18,502671,96.1,11.0,R,STL,0,1,1,1,6,190918_190423,2366.0,4,2,0,Standard,Standard,0,0_2,fb:1_sb:1_tb:0
128,FF,2019-09-18,502671,94.8,11.0,R,STL,0,1,1,1,6,190918_190344,2379.0,3,2,0,Standard,Standard,0,0_2,fb:1_sb:1_tb:0
129,SL,2019-09-18,502671,85.0,13.0,R,STL,0,1,1,1,6,190918_190307,2438.0,2,2,0,Standard,Standard,0,0_1,fb:1_sb:1_tb:0
